,ANIO,MES,LOCALIDAD,COD_UPZ,Cluster
542,2020,10,BOSA,84,1
543,2020,10,BOSA,85,0
544,2020,10,BOSA,86,1
545,2020,10,CANDELARIA,94,1
546,2020,10,CHAPINERO,88,1
547,2020,10,CHAPINERO,90,2
548,2020,10,CHAPINERO,97,2
549,2020,10,CHAPINERO,99,2
550,2020,10,KENNEDY,113,2
551,2020,10,KENNEDY,44,2
552,2020,10,KENNEDY,46,0
553,2020,10,KENNEDY,48,1
554,2020,10,KENNEDY,79,2
555,2020,10,PUENTE ARANDA,108,0
556,2020,10,PUENTE ARANDA,111,1
557,2020,10,PUENTE ARANDA,40,1
558,2020,10,PUENTE ARANDA,41,1
559,2020,10,RAFAEL URIBE URIBE,39,1
560,2020,10,RAFAEL URIBE URIBE,53,1
561,2020,10,RAFAEL URIBE URIBE,54,1
562,2020,10,SANTA FE,91,2
563,2020,10,SANTA FE,93,1
564,2020,10,SUBA,17,1
565,2020,10,SUBA,18,2
566,2020,10,SUBA,19,0
567,2020,10,SUBA,2,1
568,2020,10,SUBA,20,1
569,2020,10,SUBA,23,2
570,2020,10,SUBA,24,2
571,2020,10,SUBA,25,1
572,2020,10,SUBA,27,0
573,2020,10,SUBA,28,1
574,2020,10,SUBA,3,1
575,2020,10,TEUSAQUILLO,100,1
576,2020,10,TEUSAQUILLO,101,1
577,2020,10,TEUSAQUILLO,106,1
578,2020,10,TEUSAQUILLO,107,2
579,2020,10,TUNJUELITO,42,1
580,2020,10,TUNJUELITO,62,1
581,2020,10,USAQUÃ‰N,10,2
582,2020,10,USAQUÃ‰N,11,1
583,2020,10,USAQUÃ‰N,12,1
584,2020,10,USAQUÃ‰N,13,2
585,2020,10,USAQUÃ‰N,14,2
586,2020,10,USAQUÃ‰N,15,1
587,2020,10,USAQUÃ‰N,16,2
588,2020,10,USAQUÃ‰N,9,1
589,2020,10,USME,56,0
590,2020,10,USME,57,0
591,2020,10,USME,58,1
592,2020,10,USME,61,0
593,2020,11,ANTONIO NARIÃ‘O,35,1
594,2020,11,ANTONIO NARIÃ‘O,38,1
595,2020,11,BARRIOS UNIDOS,103,1
596,2020,11,BARRIOS UNIDOS,21,1
597,2020,11,BARRIOS UNIDOS,22,1
598,2020,11,BARRIOS UNIDOS,98,2
599,2020,11,BOSA,49,1
600,2020,11,BOSA,84,0
601,2020,11,BOSA,85,1
602,2020,11,BOSA,86,1
603,2020,11,CANDELARIA,94,1
604,2020,11,CHAPINERO,88,1
605,2020,11,CHAPINERO,90,1
606,2020,11,CHAPINERO,97,2
607,2020,11,CHAPINERO,99,2
608,2020,11,KENNEDY,113,1
609,2020,11,KENNEDY,44,2
610,2020,11,KENNEDY,46,0
611,2020,11,KENNEDY,48,1
612,2020,11,KENNEDY,79,2
613,2020,11,PUENTE ARANDA,108,1
614,2020,11,PUENTE ARANDA,111,1
615,2020,11,PUENTE ARANDA,40,1
616,2020,11,PUENTE ARANDA,41,1
617,2020,11,RAFAEL URIBE URIBE,39,1
618,2020,11,RAFAEL URIBE URIBE,53,1
619,2020,11,RAFAEL URIBE URIBE,54,1
620,2020,11,SANTA FE,91,2
621,2020,11,SANTA FE,93,2
622,2020,11,SUBA,17,1
623,2020,11,SUBA,18,2
624,2020,11,SUBA,19,0
625,2020,11,SUBA,2,1
626,2020,11,SUBA,20,1
627,2020,11,SUBA,23,0
628,2020,11,SUBA,24,2
629,2020,11,SUBA,25,1
